,character,dialogue,episode,season,total_words_spoken
2,barristan, the yunkish train bed slaves not soldiers we can defeat them  the yunkish are a proud people they will not bend,7,3,21
3,beric, come sit by the fire child  i didn't like giving up the boy  the red god is the one true god you've seen his power when he commands we obey  no who's yours  how many  how far    to take you home and i will but we need to do this first   i swear to you this isn't--  one day you'll understand but now--  anguy bring her back,7,3,67
4,bran, it's all right osha  the raven's been coming to me ever since i fell from that tower he wants me to find him i don't have my legs anymore this is what i have now  what if i belong in the north what if i fell from that tower for a reason  you don't understand you don't know,7,3,58
5,brienne, i thought you were gone  have they told you what they plan to do with me  with locke  when catelyn stark released you we both made a promise to her now it's your promise you gave your word keep it and consider the debt paid  good-bye ser jaime  ah  i will not  hold my legs  pull him up,7,3,58
6,bronn, she's a foot taller than you  what's the youngest you've ever had  how much older  you're a lord she's a lady and a beauty at that i don't see the problem  shae is a whore are you gonna marry her eh how did marrying a whore work out for you the first time  you want shae keep her wed one and bed the other all you have to do is get a son in the stark girl he'll be lord of winterfell one day you can rule the north in his name you'll have two women and a whole kingdom of your own  you waste time trying to get people to love you you'll end up the most popular dead man in town  you want to fuck that stark girl you just don't want to admit it  you pay me to kill people who bother you evil notions come free,7,3,150
7,brynden, that rain will cost us another day  prickly  that what you call it might be the least pleasant man i've ever met  i've seen wet shits i liked better than walder frey apologies your grace spent too many years around lancers and pikemen  ,7,3,43
8,catelyn, lord walder is prickly by nature  yes and that is why--  lord frey will take this delay as a slight   he's getting a wedding it was a king he wanted,7,3,30
9,daenerys, i don't want half my army killed before i've crossed the narrow sea  how many slaves are there in yunkai  then we have 200000 reasons to take the city  you may approach sit  good my unsullied need practice i was told to blood them early  my ship  and what do you ask in return  i have a gift for you as well your life   and the lives of your wise masters but i also want something in return you will release every slave in yunkai every man woman and child shall be given as much food clothing and property as they can carry as payment for their years of servitude reject this gift and i shall show you no mercy  i did but my dragons made no promises and you threatened their mother  my gold you gave it to me remember and i shall put it to good use you'd be wise to do the same with my gift to you now get out  and what happens to things that don't bend he said he had powerful friends who was he talking about  find out,7,3,185
10,edmure, he can take it as he likes he's getting the wedding he wanted,7,3,13
11,ext, the north  the north day  king's landing garden  essos outside yunkai  blackwater bay the seas by king's landing  harrenhall courtyard day  the northern woods  the north bran's camp  riverlands open field  the ruins of harrenhall,7,3,35
12,gendry, what happened  after all the running and fighting here i am back where i started  king's landing  never had a father never wanted one   i'm lowborn as low as can be my mother was a tavern wench  i was born in flea bottom  are you saying my father he was some lord or  i'm just a bastard,7,3,57
13,hodor,  hodor,7,3,1
14,hound, kick all you like wolf girl won't do you no good,7,3,11
15,int, riverrun robb's chambers at night  king's landing tyrion's chambers  king's landing throne room  king's landing tyrion's chambers night  riverlands the brotherhood's caverns  harrenhall night  dungeon somewhere,7,3,26
16,jaime, tomorrow   lord bolton's traveling tomorrow as well he's going to the twins for edmure tully's wedding you're to remain here   i owe you a debt   i will return the stark girls to their mother i swear it      tell robb stark i'm sorry i couldn't make his uncle's wedding the lannisters send their regards   what's the purpose of an arm with no hand  yes we've stymied the corruption you're a learned man  you did well sewing up this mess you're far better at this sort of work than grand maester pycelle  so why did the citadel take your chain did you fondle one boy too many  what is  you performed experiments on living men  with their permission  dying paupers i assume men with no families to complain you found them moaning in the poorhouse and had them carted back to your garret and opened up their bellies to see what was inside   i don't know    countless has a nice ring to it  a fair offer  why not    they'd be fools to kill her  we have to return to harrenhal   i've left something behind  and what are those orders  you think you'll get a reward  you think you're getting a reward let me explain something to you when my father sees me the first thing he's going to ask is what happened to my hand and i'm going to tell him this man chopped it off  or i could tell him this man saved my life we return to harrenhal now  whoa  be quiet  a wooden sword  you gave her a wooden sword  i'll pay her bloody ransom gold sapphires whatever you want just get her out of there  get behind me  pull her up  we're taking her to king's landing unless you kill me  what do you think is more important to lord bolton  getting his pet rat a reward or ensuring tywin lannister gets his son back alive   well we must be on our way sorry about the sapphires,7,3,329
17,jof, grandfather   yes i'd like a report on the meetings of my small council  i've been very busy many important matters require a king's attention  you've been holding the council meetings in the tower of the hand instead of the small council chamber  may i ask why  so if i wanted to attend a council meeting i would now have to climb all the stairs in the tower of the hand  tell me about the targaryen girl in the east and her dragons  is it true  don't you think we ought to do something about it  and the biggest was the size of a carriage  but how do we know these dragons are just curiosities and not the beasts that brought the whole world to heel  but i haven't been counseled  i should be consulted about such things,7,3,137
18,jojen, that's where we are  i don't fill his head with anything   what's happening to him and what that means  it's not like that i wish i could tell him all the answers it would be much easier  we're not going to castle black   i told you already jon snow isn't there bran needs to find the raven beyond the wall,7,3,60
19,jon,  about a week i think   when we went to castle black we took the kingsroad   most of the time yes   they don't really it's a great honor to carry your house sigil   usually it's the young boys banging the drums  they help the men march  no no you're just gonna light the biggest fire the north has ever seen to let them know you're coming  i know you cut me loose on the wall  and are you gonna share it with me the deep wisdom you found inside the head of a bird  you're gonna scare it off  it's too far away   it's a windmill   just the men who used to live here  winterfell has towers three times that size  if you're impressed by a windmill you'd be swooning if you saw the great keep at winterfell   fainting   when a girl sees blood and collapses   well not all girls are like you  i'd like to see you in a silk dress   so i could tear it off you  maybe one day i'll take you to winterfell  ygritte you won't win i know your people are brave no one denies that  six times in the last thousand years a king has attacked the kingdoms six times they failed   every boy in the north knows it we grow up learning it where the battles were fought the names of the heroes who died where six times you've invaded and six times you've failed the seventh will be the same  you don't have the discipline you don't have the training your army is no army you don't know how to fight together  i do i know it if you attack the wall you'll die all of you  yes first we'll live,7,3,288
20,jorah, yunkai the yellow city  on the field with ease but they won't meet us on the field they have provisions patience and strong walls if they're wise they'll hide behind those walls and chip away at us man by man  we don't need yunkai khaleesi taking this city will not bring you any closer to westeros or the iron throne   200000 if not more   i don't know,7,3,67
21,locke, safe journey kingslayer nothing to say i liked you better before i don't remember chopping your balls off too and don't you worry about your friend we'll take good care of her  well this is one shameful fucking performance stop running and fight  i thought you'd gone  we've only got one bear  all you lords and ladies still think that the only thing that matters is gold  this makes me happier than all your gold ever could and that makes me happier than all her sapphires so go buy yourself a golden hand and fuck yourself with it  what the fuck are you doing to my bear  the bitch stays  she belongs to me lord bolton's orders,7,3,117
22,man, come back girl  don't spare her  don't spare her,7,3,9
23,margaery, come on come walk with me  i remember the first time i saw you in the throne room i'd never seen anyone who looked so unhappy i want very much for you to be happy sansa and so does my grandmother  you would have been happy at highgarden but women in our position must make the best of our circumstances  has lord tyrion mistreated you  has he been kind to you  you don't want him though  far from the worst lannister wouldn't you say  my son will be king sons learn from their mothers i plan to teach mine a great deal and your son if i'm not mistaken your son might be the lord of casterly rock and the north someday what  if it's the pain you're worried about--  what is it then he's rather good-looking even with the scar especially with the scar  some women like tall men some like short men some like hairy men some like bald men gentle men rough men ugly men pretty men pretty girls most women don't know what they like until they've tried it and sadly so many of us get to try so little before we're old and gray tyrion may surprise you from what i've heard he's quite experienced   it can be we're very complicated you know pleasing us takes practice   yes sweet girl my mother taught me,7,3,229
24,meera, leave him alone,7,3,3
25,melisandre, wildfire i should have been here  do you miss it  your father's house  haven't you ever wondered where your strength came from your talent for fighting  mine was a slave so was i bought and sold scourged and branded until the lord of light reached down took me in his hand and raised me up  your blood is noble  there your father's house  the bastard of robert of the house baratheon first of his name king of the andals and the first men why do you think the gold cloaks wanted you there is power in a king's blood,7,3,99
26,men, yeah   the bear the bear and the maiden fair / from there to here from here to there all black and brown and covered in hair he smelled that girl in the summer air the bear the bear and the maiden fair,7,3,42
27,missandei, now comes the noble razdal mo eraz of that ancient and honorable house master of men and speaker to savages to offer terms of peace  noble lord you are in the presence of daenerys stormborn of house targaryen queen of the andals and the first men khaleesi of the great grass sea breaker of chains and mother of dragons  will the noble lord take refreshment,7,3,65
28,myranda, shh  so did the septons only they lied about it   there's no one here but you me and violet   oh come on let us see it everybody talks about it  who sent us  we heard so much about it   well he's been through so much look at his poor face  and how can we make him feel better  maybe he doesn't know how we are  oh i felt something oh lord greyjoy  mmm   what you like her better  i was here first,7,3,82
29,orell, she's right you don't  cut her loose too do you see her sulking about it that's because she understands the way things are   people work together when it suits them they're loyal when it suits them they love each other when it suits them and they kill each other when it suits them she knows that you don't which is why you'll never hold onto her  you think he loves you is that it what did he tell you he's gonna make you his lady and live with you in some castle  i've seen you two whispering in the night giggling like a pair of girls   of course i'm jealous you should be with one of your own  you would if you were mine i'd tell you that you're beautiful and fierce and wild i'd be good to you you love him   'cause he's pretty  is that it you like his pretty hair and his pretty eyes you think pretty is gonna make you happy  you won't love him so much when you find out what he really is,7,3,179
30,osha, what's he going on about and how come he always gets to sit and chat while we do all the work  what are you telling him  it's not all right you think i can't hear you every day  filling his head with black magic talking about visions and three-eyed ravens and worse  he can speak for himself  so what do you talk about  go on then tell us what it means  i don't want you talking to him anymore until we get to your brother at castle black  what did you say  oh no i'm not going back there your brother is at castle black that's where we're going look at me  you have a family you need to go back to castle black so you can get back to them where you belong   is that what he's telling you that it's all for a reason all these bad things happened because the gods got big plans for you i wish it were true little lord but the gods wouldn't spare a raven's cold shit for you or me or anyone  you don't know none of you know none of you have been up there i had a man once a good man bruni his name was i was his and he was mine but one night bruni disappears people said he left me but i knew him he'd never leave me not for long  i knew he'd come back and he did he came in through the back of the hut only it wasn't bruni not really his skin was pale like a dead man's his eyes bluer than clear sky he came at me grabbed me by the neck and squeezed so hard i could feel the life slipping out of me i don't know how i got the knife when i did i stuck it deep into his heart and he hardly seemed to notice i had to burn our hut down with him inside i didn't ask the gods what it meant i didn't need to i already knew it meant the north was no place for men to be not anymore i promised your maester i'd get you to castle black and no further,7,3,369
31,qyburn, here let me  it will take time  how is the pain my lord   well we've stymied the corruption  all the good it's done me  faint praise my lord   no my lord that's not my weakness   curiosity the only way to treat disease is to understand disease and the only way to understand it is to study the afflicted  on dying men   my studies have given me insight that has saved many lives  how many men have you killed my lord  50 100  countless  and how many lives have you saved   a bird flew off and a bird flew back  lord selwyn tarth offered 300 gold dragons for his daughter's safe return  a fair offer locke won't take it   he's convinced lord tarth owns all the sapphire mines in westeros  he feels he's being cheated  these men have been at war a long time most of them will be dead by winter she'll be their entertainment tonight beyond tonight i don't think they care very much,7,3,165
32,radzal mo eraz,    ancient and glorious is yunkai our empire was old before dragons stirred in old valyria many an army has broken against our walls you shall find no easy conquest here khaleesi  if blood is your desire blood shall flow but why 'tis true you have committed savageries in astapor but the yunkai are a forgiving and generous people  the wise masters of yunkai have sent a gift for the silver queen  there is far more than this awaiting you on the deck of your ship  yes khaleesi as i said we are a generous people you shall have as many ships as you require   all we ask is that you make use of these ships sail them back to westeros where you belong and leave us to conduct our affairs in peace  my life  you are mad we are not astapor or qarth we are yunkai and we have powerful friends friends who would take great pleasure in destroying you those who survive we shall enslave once more perhaps we'll make a slave of you as well  you swore me safe conduct  take the gold  ,7,3,185
33,ramsay, i'm sorry i'm sorry terrible timing  but i was getting jealous  well should we see this cock everyone's always going on about   everyone knows you love girls i bet you always thought they loved you back  your famous cock must be very precious to you would you say it's your most precious part  this is mercy i'm not killing you just making a few alterations,7,3,65
34,robb, frey will wait he knows we're coming  edmure is the best match a frey has had in the history of their house we should all get some sleep  if you don't put some clothes on i can't promise i won't attack you again  who are you writing  is that valyrian  gaaa  say hello for me  'ritsas'  does she know her daughter's a queen  that will be a surprise i expect  how am i supposed to sit here planning a war when you're over there looking like that   i will  what now  are you certain   angry you're my queen  maybe one of each   i love you do you hear me  i love you,7,3,112
35,sansa, how do i make the best of my circumstances i have to marry him  no   he's tried  he's a lannister   i'm sorry here i am complaining to you  i'm not afraid of the pain not after what joffrey's done to me  and that's a good thing  how do you know all this did your mother teach you,7,3,57
36,shae, chains  golden chains  do i need a ship  am i going somewhere  so am i invited to your wedding  no  she's a beautiful girl you said so yourself  is that what you will tell yourself when you fuck her  does not rule the world we can still go across the narrow sea  and i'm shae the funny whore  while i empty her chamber pot and lick your cock when you're bored  no what will it be like  children you think i want children who can never see their father who would be killed in their sleep if their grandfather found out about them  i'm not your lady  i'm your whore and when you are tired of fucking me i will be nothing,7,3,122
37,steelshanks walton, why  absolutely not i've got orders from lord bolton   to deliver you to your father at king's landing  i serve lord bolton any appreciation your father--  i had nothing--  eyes open lads   lord bolton charged me with bringing him back to king's landing alive and that's what i aim to do,7,3,51
38,talisa, i've spent the last two years nursing wounded men watching them bleed and die i'm not afraid of wet shits  attack attack   my mother  gaaa  rytsas  that was close enough   not yet  many surprises for her   will you come with me one day to volantis  when all this is over  i promise i know she'd love to meet you and her grandchild   are you angry with me  and i have your little prince or princess inside me  don't get greedy  can you leave the war for one night,7,3,88
39,theon,     where is he  please  he sent you  please  help me if he comes back       please no no mercy please please mercy mercy  no no no please no no no no please please,7,3,32
40,thoros, not talking eh that's a first  what do you say boys time for a lion hunt  it will still be west of here two days from now,7,3,27
41,tormund, most men fuck like dogs  no grace no skill a few dozen thrusts and done you need to be patient give her time your cock shouldn't go near her till she's slick as a baby seal and then you go inside but slowly don't jam it in like you're spearing a pig  come on hey come on,7,3,57
42,tyrion, she's a child  a tall child   not that young   older  shae isn't going to like it   i should never have told you about that  two women to despise me and a whole kingdom to join them  i don't pay you to put evil notions in my head the ones already there don't need company   solid gold from the mines outside lannisport smithed in casterly rock  you could buy a ship with these  what  of course you're not going anywhere   i didn't ask for this marriage i didn't want it  that doesn't mean that--this is duty not desire   i don't have a choice my father--  what would i do there juggle i am a lannister of casterly rock  my feelings for you have not changed i will marry sansa stark and do my duty by her   i swear to you it will not be like that   i will buy you a good home somewhere in the city you will have fine clothes guards to keep you safe servants any children we might have will be well provided for   listen listen to me my lady  you are you'll always be my lady,7,3,190
43,tywin, your grace  you wanted to speak to me  you're welcome to attend the meetings of your small council your grace any or all of them  of course  i have yes   the tower of the hand is where i work to walk from there to here would take time time i could otherwise spend productively   we could arrange to have you carried  where did you hear about this  apparently so   when i was hand of the king under your father's predecessor the skulls of all the targaryen dragons were kept in this room the skull of the last of them was right here it was the size of an apple  yes and the creature to whom it belonged died 300 years ago curiosities on the far side of the world are no threat to us   because we have been told as much by the many experts who serve the realm by counseling the king on matters about which he knows nothing  you are being counseled at this very moment  from now on i will see to it that you are appropriately consulted on important matters whenever necessary your grace,7,3,188
44,violet, gentle my lord gentle  shh shh shh myranda knows what she's doing let her she trained as a septa only  she had other urges   who my lord  don't you want us to see it   we sent ourselves lord greyjoy  oh there it is  oh do you think we're ugly  he thinks we're ugly  we need to make him feel better   i have an idea  oh she's shy you know how they are these religious girls  as good as they say  and why should you get all the fun   plenty there for both of us,7,3,94
45,ygritte, how far are we  you think you don't know  you and your roads is that how you lot do your fighting  you march down the road banging drums and waving banners  how do the men holding the banners fight  so what good are they  how  oh you mean right foot left foot right foot left foot right foot you need help remembering that when mance gives the signal and we hit castle black we won't be banging on drums to let them know we're coming  you know nothing jon snow   no he didn't tell me anything he barely talks  what you're jealous  and you're one of my own i've never heard a kind word from your mouth     don't touch me  i'm not gonna scare it i'm gonna kill it    is that a palace  windmill who built it  some king  they must have been great builders stacking stones so high  'i'm jon snow and i'm from winterfell my daddy was a fancy lord and i lived in a tower that touched the clouds'  what's swooning  what's fainting  why would a girl see blood and collapse  well girls see more blood than boys or do you like girls who swoon jon snow  oh a spider save me jon snow  my dress is made of the purest silk from tralalalaleeday  would you  well you rip my pretty silk dress i'll blacken your eye  or maybe one day i'll take you there after we've taken our land back  you know nothing--  and how do you know that  mance is different  you don't know that  all of us  you're mine as i'm yours and if we die we die but first we'll live,7,3,278
0,arya, there's no one worse than you  you're lying  is that the blackwater   back to king's landing to joffrey and the queen  but why  why would they be at the twins,8,3,30
1,baby,     ,8,3,0
2,barristan, men who fight for gold have neither honor nor loyalty they cannot be trusted   2000 your grace armored and mounted    under 2000 your grace   10000 unsullied  gladly your grace,8,3,29
3,cersei, radiant why radiant  you're a musical girl aren't you  i imagine you have a lovely voice  ah but you know the song 'the rains of castamere'  so you know the story of house reyne of castamere  house reyne was a powerful family very wealthy the second wealthiest in westeros aren't the tyrells the second wealthiest family in westeros now   of course ambitious climbers don't want to stop on the second highest rung if only you could take that final step you'd see further than all the rest you'd be alone with nothing but blue sky above you so lord reyne built a castle as grand as casterly rock he gave his wife diamonds larger than any my mother ever wore and finally one day he rebelled against my father do you know where house reyne is now  gone a gentle word why not say slaughtered every man woman and child put to the sword  i remember seeing their bodies hanging high above the gates of casterly rock my father let them rot up there all summer it was a long summer 'and now the rains weep o'er their halls and not a soul to hear'  if you ever call me sister again i'll have you strangled in your sleep  perhaps you could talk to your bride-to-be instead  stay  nobody cares what your father once told you,8,3,226
4,cut, dany barristan mero prendahl daario jorahmissandei,8,3,6
5,daario,  daario naharis  i hope the old man is better with a sword than he is with a lie you have 8000 unsullied  you have no ships you have no siege weapons you have no cavalry  you talk too much  8000 unsullied stand between her and your cock  she'll tell me whatever you pay her to tell me  i like them very much i just refuse to pay them and i'm no whore my friend   i fight for beauty  do you hear me  follow my voice i'm right here  you have something for me   valar morghulis  no screaming or she dies   you  don't scream lovely girl     i don't want to   you should ask them   we had philosophical differences   your beauty it meant more to me than it did to them  i'm the simplest man you'll ever meet i only do what i want to do   yes   they ordered me to murder you i told them i preferred not to they told me i had no choice i told them i am daario naharis i always have a choice they drew their swords and i drew mine    the second sons are yours and so is daario naharis my sword is yours my life is yours my heart is yours,8,3,207
6,daenerys, you know these men  is he more titan or bastard  how many  enough to make a difference   it's hard to collect wages from a corpse i'm sure the sellswords prefer to fight for the winning side  i'd like to talk to the titan's bastard about winning  he will a man who fights for gold can't afford to lose to a girl  we have no slaves here  give me your second sons and i may not have you gelded ser barristan how many men fight for the second sons  we have more don't we  i'm only a young girl new to the ways of war but perhaps a seasoned captain like yourself can explain to me how you propose to defeat us  you're very young to be a captain  even if your numbers are right you must admit the odds don't favor your side  or you could fight for me  i would pay you as much and more  ride with me and you'll never need another contract you'll have gold and castles and lordships of your choosing when i take back the seven kingdoms  a fortnight ago i had no army a year ago i had no dragons you have two days to decide   you seem to be enjoying my wine perhaps you'd like a flagon to help you ponder   a barrel then  ser barristan if it comes to battle kill that one first  19  how can anyone speak 19 languages   drogo said i spoke dothroaki like one born to it it gave him great pride  athjahaka  athjahakar  well i suppose i'm a bit out of practice  what do you want  let her go  you were sent here to kill me   so why haven't you  what do your captains have to say about that  why  over what  you're a strange man  and this is supposed to impress me  why would i trust a man who murders his comrades  will you fight for me   swear to me,8,3,325
7,davos, ' your grace   two meals a day cold for breakfast hot for supper i cannot complain  well it's sad to say but i've seen worse  i'm sorry about your son didn't get the chance to tell you before good lad loyal lad    i didn't know she'd been gone  why  she's going to kill him  forgive me your grace i'm not a learned man but is there a difference between kill and sacrifice  the boy is your nephew   because he has your blood in his veins  renly wronged you renly declared himself king when the throne belonged to you he raised an army stole your bannermen this boy has done you no harm he's an innocent   your grace why did you come to see me today  i swear it i can't swear never to speak against her  quite little your grace verging on none you could have freed me yesterday or tomorrow but you came to me now before this boy is put to the knife because you knew i'd counsel restraint you came to hear me say it because you believe it yourself you're not a man who slaughters innocents for gain or glory when my son was five he said to me 'i don't ever want to die ' i wanted to say to him 'you won't child you won't ever' i hated the idea of him lying awake in the dark afraid i think mothers and fathers made up the gods because they wanted their children to sleep through the night,8,3,253
8,ext, riverlands woods morning  essos  an open tent outside of yunkai  dragonstone shoreline  outside yunkai  encampment outside of yunkai night  north of the wall dusk,8,3,24
9,gendry,  i've never seen anything like any of this not in my life  in flea bottom we called them bowls of brown we'd pretend that the meat in them was chicken we knew it wasn't chicken   that's good  that's really good   i couldn't even guess  that thought had crossed my mind yeah  i'm a mistake i'm only here because my father grabbed my mother instead of the girl next to her in the tavern  what are you doing  what--  get it away get it off me  why are you doing this  no no no no no not there not there  please please your grace my lord  ,8,3,105
10,gilly,  it doesn't matter come under the furs we can keep each other warm  i doubt it  he blinked  a what  a wink is on purpose  sometimes do you talk fancy on purpose to confuse me  i'll build that fire   i don't know many boys' names  craster  mormont  why is it a last name  his name is samwell tarly too  randyll is a handsome name  is your father cruel like mine  not randyll then  don't don't go out there  it's come for the baby   no you can't have him no  no,8,3,90
11,high septon, you may now cloak the bride and bring her under your protection  your grace your grace my lords my ladies we stand here in the sight of gods and men to witness the union of man and wife one flesh one heart one soul now and forever,8,3,47
12,hound, i'll give you one try girl  kill me and you're free but if i live i'll break both your hands go on hit me hit me hard  sulk all you want the truth is you're lucky you don't want to be alone out here girl someone worse than me would find you  ha you never knew my brother he once killed a man for snoring there's plenty worse than me there's men who like to beat little girls men who like to rape them i saved your sister from some of them  ask her if you ever see her again ask her who came back for her when the mob had her on her back they would have taken her every which way and left her there with her throat cut open   the blackwater  where do you think i'm taking you  fuck joffrey fuck the queen that's the red fork i'm taking you to the twins   because your mother and brother will be there and they'll pay me for you   those outlaws you love so much never told you  the whole countryside is yapping about it your uncle is marrying one of the frey girls so quit trying to bash my skull in and we might just make it there in time for the wedding,8,3,215
13,int, dragonstone war room  king's landing sansa's chambers  king's landing the sept of baelor  dragonstone  king's landing the wedding reception  daenerys's tent  king's landing tyrion's chambers morning,8,3,26
14,jof,  your father's gone as the father of the realm it is my duty to give you away to your husband  i've got a lifetime for that  congratulations my lady  well you've done it you've married a lannister soon you'll have a lannister baby it's a dream come true for you isn't it  what a glorious day  i suppose it doesn't really matter which lannister puts the baby into you maybe i'll pay you a visit tonight after my uncle passes out how'd you like that  you wouldn't that's all right ser meryn and ser boros will hold you down  time for the bedding ceremony  where's your respect for tradition uncle come everyone pick her up and carry her to her wedding bed get rid of her gown she won't be needing it any longer ladies attend to my uncle he's not heavy  there will be if i command it  what did you say what did you say,8,3,157
15,jorah," they can be trusted to kill you if they're well paid the yunkish are paying them well   only by the broken swords on their banners they're called the second sons a company led by a braavosi named mero ""the titan's bastard""   he's a dangerous man khaleesi they all are  i imagine you're right  he may not agree to meet  mind your tongue  the second sons have faced worse odds and run",8,3,71
16,loras, well my father once told me--,8,3,6
17,margaery, you look radiant your grace   it's the word that came to mind  we're going to be sisters soon we should be friends  a better dancer than a singer i'm afraid   of course they play it so often here at court   not as well as you i'm sure     gone,8,3,48
18,melisandre, show the boy to his chambers have the maids draw him a bath and find him some decent clothes i'll come visit you soon   you know what i mean to do with him  have you ever slaughtered a lamb my king  if the lamb sees the knife she panics her panic seeps into her meat darkens it fouls the flavor   and none have seen the blade  have you ever seen one like it  it's shocking isn't it the first time you encounter real wealth  when i was your age i lived on one bowl of stew a day and stew is a kind word for it  here taste this  you think i'm trying to poison you  where do you think it's from  doesn't matter does it  it's the real thing or it's not you only need a tongue to tell the difference go on have some more you still don't trust it you think this is all a mistake and that you'll have to pay somehow for every bite you take  there are no mistakes not for us  your father chose your mother because the lord of light willed it he willed it so you could be here right now with a power inside you you can't even begin to understand and he brought me here to draw it from you and birth it into the world we're both a part of his plan he wants this for us no he demands this of us  according to whom  the silent sisters with their stern looks muzzled mouths and dried-up cunts what have their gods done for you  hmm  when you pray to them what's their answer  a god is real or he's not you only need eyes to see  death is coming for everyone and everything a darkness that will swallow the dawn and we can stop it you and i  let me show you what you have inside you come fight death with me   you have to trust me  don't fight don't fight they won't take much   i told you there's power in the blood of kings and you have so much blood   you can blame ser davos he didn't believe in the power of king's blood he wanted a demonstration,8,3,372
19,mero, you are the mother of dragons  i swear i fucked you once in a pleasure house in lys  why  i didn't mind hers she licked my ass like she was born to do it   you slave girl bring wine  you'll all be slaves after the battle unless i save you take your clothes off and come and sit on mero's lap and i may give you my second sons  the second sons have faced worse odds and won  we've taken the slavers' gold we fight for yunkai  only a flagon and what are my brothers in arms to drink  good the titan's bastard does not drink alone in the second sons we share everything after the battle maybe we'll all share you  i'll come looking for you when this is over  she won't talk so much when she's choking on my cock  my cock will find a way tell him is there any place that my cock can't reach  daario naharis the whore who doesn't like whores  she sells her sheath and you sell your blade what's the difference   we fight for gold  you'll die young  there won't be a battle and we don't have to deal with her eunuchs we only have to deal with her  tonight's a new moon one of us slips into her camp past her unsullied and her knights   close your eyes love  three coins a coin from meereen a coin from volantis and a coin from braavos the braavosi does the deed one for each of us darling no peeking,8,3,256
20,missandei, yes your grace   it only took your grace a year to learn dothraki reasonably well   dothraki is difficult for the mouth to master so guttural and harsh  athjahakar  ath-ja-hakar    your high valyrian is very good your grace the gods could not devise a more perfect tongue it is the only proper language for poetry  ,8,3,54
21,olenna, so their son will be your nephew after you're wed to cersei of course and you will be the king's stepfather and brother-in-law when you marry the king joffrey's mother will become his sister-in-law and your son will be loras' nephew  grandson  i'm not sure but your brother will become your father-in-law that much is beyond dispute,8,3,57
22,prendahl, he's not a captain he's a lieutenant  our contract is our bond if we break our bond no one will hire the second sons again   little dragon bitch she talks too much  for beauty  what do we do about the dragon girl  we can't beat 8000 unsullied on the battlefield  she's well guarded  which one of us,8,3,57
23,sam, it's getting dark we could stay here for the night  how hard can it be to build a fire  he winked at me before  i saw him wink at me  i suppose it's a rather philosophical difference between a wink and a blink   well i mean there's no real difference  you thought of a name yet it would be easier to refer to him if he had a name   what no this is just the way i talk  don't you think he should have a name  let's see there's duncan kevan jon guymon feldan tristifer  uh yes maybe that's not--  that's a lovely idea but mormont's a last name   well it's a family name for instance i'm samwell tarly samwell is my birth name and tarly is my family name you see so my father is also a tarly   no randyll tarly  please don't name him randyll   different manner of cruel  i'll be back i just want to look  go inside go back inside i'll--  stay back   you stay back,8,3,170
24,sansa, you look very handsome my lord  i hope i will not disappoint you my lord  i doubt that very much my lord   when i have to  what are you doing  will you pardon me my lord  thank you your grace  yes your grace  is that wise my lord  is that wise tyrion  what  14  but your father--  what if i never want you to,8,3,64
25,shae, i brought your breakfast,8,3,4
26,stannis, half robert half lowborn  what do you mean to do with him  then why bathe him and dress him in fine clothes  if it needs to be done do it don't torture the boy   no  you've slaughtered many lambs  they feeding you enough  you don't belong in a place like this  yeah  melisandre's returned  came back with a bastard boy robert's bastard boy   she says there's power in king's blood  sacrifice him  what of it we're at war why should i spare the son of some tavern slut robert bedded one drunken night  so did renly  how many boys live in westeros how many girls how many men how many womenthe darkness will devour them all she says the night that never ends unless i triumph i never asked for this no more than i asked to be king we do not choose our destiny but we must do our duty no  great or small we must do our duty what's one bastard boy against a kingdom   i came to free you if you swear never to raise your hand to the lady melisandre again  you have little regard for your own life  i saw a vision in the flames a great battle in the snow i saw it and you saw whatever she gave birth to i never believed but when you see the truth when it's right there in front of you as real as these iron bars how can you deny her god is real   the usurper robb stark the usurper balon greyjoy the usurper joffrey baratheon,8,3,260
27,tyrion, lady sansa  oh yes the husband of your dreams but you do look glorious perhaps we could have a moment alone do you mind podrick could you escort lady stark's handmaiden   my lady i want you to know i didn't ask for this  you're right i have no idea how you feel and you have no idea how i feel  but i promise you one thing my lady i won't ever hurt you do you drink wine  well today you have to  could you-  thank you     of course of course en--enjoy  rather less than i plan to be isn't it a man's duty to be drunk at his own wedding  and  what did you once call me  a drunken little lust-filled beast  there you have it nothing to worry about drinking and lust no man can match me in these things i am the god of tits and wine i shall build a shrine to myself at the next brothel i visit  there will be no bedding ceremony  there will be no bedding ceremony  then you'll be fucking your own bride with a wooden cock  a bad joke your grace made out of envy of your own royal manhood mine is so small my poor wife won't even know i'm there  my tiny drunk cock and i have a job to do come wife  i vomited on a girl once in the middle of the act not proud of it but i think honesty is important between a man and wife don't you agree  come i'll tell you all about it put you in the mood   tyrion sansa my name is tyrion   nothing was ever wiser  astoundingly long   neck you have one how old are you exactly   well talk won't make you any older my lord father has commanded me to consummate this marriage  stop i can't i could i won't  if my father wants someone to get fucked i know where he can start i won't share your bed not until you want me to   and so my watch begins  you really ought to knock,8,3,346
