,character,dialogue,episode,season,total_words_spoken
11,jon, i already have one  of course i have  we've guarded the kingdoms for 8 000 years  soon enough  it's good you've got help   impressive   i have something for you and it has to be packed very carefully   close the door this is no toy be careful you don't cut yourself  so are you i had the blacksmith make it for you special it won't hack a man's head off but it can poke him full of holes if you're quick enough   you'll have to work at it every day how does it feel do you like the balance   i'm going to miss you careful all the best swords have names you know   i came to say goodbye to bran   i wish i could be here when you wake up i'm going north with uncle benjen i'm taking the black i know we always talked about seeing the wall together but you'll be able to come visit me at castle black when you're better i'll know my way around by then i'll be a sworn brother of the night's watch we can go out walking beyond the wall if you're not afraid   you starks are hard to kill   she was very kind   it was always my color   and you stark  is my mother alive does she know about me where i am where i'm going does she care  why do you read so much   is this a trick  until your brother killed that king  ask me nicely and maybe i'll tell you dwarf  the night's watch protects the realm from,2,1,259
12,jon  first lesson, first lesson stick them with the pointy end,2,1,8
13,jorah, you need to drink child and eat  we're still not far from pentos your grace magister illyrio has extended his hospitality you'd be more comfortable there  as you wish your grace  selling to one some poachers i caught on my land,2,1,41
14,jory, my lord my lord they found her she's unharmed  she's been taken directly before the king  the lannisters found her  the queen ordered them to bring her straight to him,2,1,30
15,luwin, it's time we reviewed the accounts my lady you'll want to know how much this royal visit has cost us  poole went south with lord stark my lady we need a new steward and there are several other appointments that require our immediate attention  very good my lord my lady  the boy was always sure-footed before  what is there going to be a battle in the godswood too easily words of war become acts of war we don't know the truth yet lord stark must be told of this,2,1,89
16,mycah, i'll get you  mycah my lord  she asked me to my lord she asked me to  it's not a sword my prince it's only a stick,2,1,26
17,myrcella, is bran going to die,2,1,5
18,ned,  i have no choice   you can you must  there's great honor serving in the night's watch the starks have manned the wall for thousands of years and you are a stark you might not have my name but you have my blood  the next time we see each other we'll talk about your mother i promise   i've half a mind to go with you  you should have asked me 20 years ago   i recall a few chances   bessie she was one of yours   wylla   nor will i  the worst thing about your coronation i'll never get to hit you again   daenerys targaryen has wed some dothraki horselord what of it should we send her a wedding gift  she's little more than a child   tell me we're not speaking of this   but you can't get your hands on this one can you  even a million dothraki are no threat to the realm as long as they remain on the other side of the narrow sea they have no ships robert  he will not cross and if by chance he does we'll throw him back into the sea  where is she  who took her  right get back  back back to the inn all back  are you hurt  it's all right what is the meaning of this why was my daughter not brought to me at once  in bed asleep  stop it that's enough of that  stop arya  gladly your grace  you can't mean it  s this your command your grace  no jory take the girls to their rooms if it must be done then i'll do it myself   the wolf is of the north she deserves better than a butcher  the butcher's boy you rode him down,2,1,285
19,robb, you've said goodbye to bran he's not going to die i know it  my mother  good next time i see you you'll be all in black  farewell snow   i'll make the appointments we'll talk about it first thing in the morning   when was the last time you left this room  he's not going to die mother maester luwin says the most dangerous time has passed  rickon needs you he's six he doesn't know what's happening he follows me around all day clutching my leg crying   fire you stay here i'll come back   they come into our home and try to murder my brother if it's war they want   i'll ride to king's landing   mother you can't   what about bran,2,1,119
20,robert, gods this is country i've half a mind to leave them all behind and keep going  what do you say just you and me on the kingsroad swords at our sides a couple of tavern wenches to warm our beds tonight  there were wars to fight women to marry we never had the chance to be young  there was that one oh what was her name that common girl of yours becca with the great big tits you could bury your face in  bessie thank the gods for bessie and her tits yours was aleena no you told me once meryl your bastard's mother  that's it she must have been a rare wench to make lord eddard stark forget his honor you never told me what she looked like  we were at war none of us knew if we were gonna go back home again you're too hard on yourself you always have been i swear if i weren't your king you'd have hit me already  trust me that's not the worst thing there was a rider in the night  a knife perhaps a good sharp one and a bold man to wield it  soon enough that child will spread her legs and start breeding  oh it's unspeakable to you what her father did to your family that was unspeakable what rhaegar targaryen did to your sister the woman i loved i'll kill every targaryen i get my hands on   this khal drogo it's said he has 100000 men in his horde   there are still those in the seven kingdoms who call me usurper if the targaryen boy crosses with a dothraki horde at his back the scum will join him  there's a war coming ned i don't know when i don't know who we'll be fighting but it's coming  quiet woman sorry ned i never meant to frighten the girl but we need to get this business done quickly  enough he tells me one thing she tells me another seven hells what am i to make of this where's your other daughter ned  now child tell me what happened tell it all and tell it true it's a great crime to lie to a king  what would you have me do whip her through the streets damn it children fight it's over  you let that little girl disarm you see to it that your daughter is disciplined i'll do the same with my son  i'd forgot the damned wolf  so be it   as you will  a direwolf's no pet get her a dog she'll be happier for it,2,1,429
21,rodrick, did you notice the dagger the killer used it's too fine a weapon for such a man the blade is valyrian steel the handle dragonbone someone gave it to him  i'll send hal with a squad of guardsmen to escort you  let me accompany you at least the kingsroad can be a dangerous place for a woman alone,2,1,58
22,sandor clegane, the prince will remember that little lord  do i frighten you so much girl or is it him there making you shake he frightens me too look at that face  he hasn't been very talkative these last 20 years since the mad king had his tongue ripped out with hot pincers  he ran not very fast,2,1,56
23,sansa,  pardon me ser   i'm sorry if i offended you ser why won't he speak to me  stay lady i probably shouldn't have any more father only lets us have one cup at feasts   arya  he the butcher's boy   arya stay out of this   no no stop it stop it both of you you're spoiling it you're spoiling everything  arya   arya leave him alone my prince my poor prince look what they did to you stay here i'll go back to the inn and bring help  i don't know i don't remember everything happened so fast i didn't see  arya  he doesn't mean lady does he no no not lady lady didn't bite anyone she's good   stop them don't let them do it please it wasn't lady,2,1,126
24,soldier, we found no trace of the direwolf your grace  chained up outside your grace,2,1,14
25,soldier 1, the wolf's not here look down by the stream  i'll check down here,2,1,13
26,soldier 2, it's a direwolf  i think i heard a noise,2,1,9
27,theon, saw what my lady  if it comes to that you know i'll stand behind you,2,1,15
28,tyrion, before you go you will call on lord and lady stark and offer your sympathies  none but it is expected of you your absence has already been noted  one word and i'll hit you again  go tell her but first you will get to lord and lady stark and you will fall on your knees in front of them and tell them how very sorry you are that you are at their service and that all your prayers are with them do you understand  do you understand  i hope so if he forgets be a good dog and remind him time for breakfast  bread and two of those little fish and a mug of dark beer to wash it down and bacon burnt black  beloved siblings  apparently not  the maester says the boy may live  only the gods know for certain all the rest of us can do is pray the charms of the north seem entirely lost on you  where's your sense of wonder the greatest structure ever built the intrepid men of the night's watch the wintry abode of the white walkers  and go celibate the whores would go begging from dorne to casterly rock i just want to stand on top of the wall and piss off the edge of the world  speaking for the grotesques i'd have to disagree death is so final whereas life life is full of possibilities i hope the boy does wake i'd be very interested to hear what he has to say  my dear brother you wound me you know how much i love my family  rapers they were given a choice no doubt castration or the wall most choose the knife not impressed by your new brothers lovely thing about the watch you discard your old family and get a whole new one  look at me and tell me what you see   what you see is a dwarf if i'd been born a peasant they might've left me out in the woods to die alas i was born a lannister of casterly rock things are expected of me my father was the hand of the king for 20 years  yes until my brother killed him life is full of these little ironies my sister married the new king and my repulsive nephew will be king after him i must do my part for the honor of my house wouldn't you agree but how well my brother has his sword and i have my mind and a mind needs books like a sword needs a whetstone that's why i read so much and you what's your story bastard   a bastard boy with nothing to inherit off to join the ancient order of the night's watch alongside his valiant brothers-in-arms  yes yes against grumpkins and snarks and all the other monsters your wet nurse warned you about you're a smart boy you don't believe that nonsense everything's better with some wine in the belly,2,1,492
29,viys, i have no interest in hospitality or comfort i'll stay with drogo until he fulfils his end of the bargain and i have my crown  well mormont as brutish as this life is i suppose it is preferable to beheading what did ned stark want you for buying from a slaver  under my reign you won't be punished for such nonsense you can rest assured of that,2,1,67
0,aemon, how many winters have you seen lord tyrion  all of them brief  the night's watch is the only thing standing between the realm and what lies beyond and it has become an army of undisciplined boys and tired old men there are less than a thousand of us now we can't man the other castles on the wall we can't properly patrol the wilderness we've barely enough resources to keep our lads armed and fed  when winter does come gods help us all if we're not ready,3,1,87
1,alli the, if that were a real sword you'd be dead lord snow here grew up in a castle spitting down on the likes of you pyp do you think ned stark's bastard bleeds like the rest of us  next  next  lord snow it appears you're the least useless person here go clean yourselves up there's only so much i can stomach in a day,3,1,63
2,arya,  i'm practicing  the prince  he's a liar and a coward and he killed my friend  the hound does whatever the prince tells him to do  you're a liar and if you told the truth mycah would be alive  go away   mine  i wasn't playing and i don't want to be a lady   it's called needle  stick 'em with the pointy end  i was trying to learn i asked mycah to practice with me i asked him it was my fault  i hate them i hate all of them the hound the queen and the king and joffrey and sansa  so was i he is a liar  but how you can let her marry someone like that  winter is coming  i don't hate her not really  i can keep it   who are you   it's too heavy  what if i drop it  i'm a girl   a needle,3,1,145
3,barristan selmy, of course your grace  a tyroshi never learned the name  lance through the heart  i was there that day you were only a squire 16 years old  a good fighter toyne but he lacked stamina,3,1,35
4,benjen,"  i wanted to be here when you saw it for the first time i'm leaving this morning  i'm the first ranger my job is out there there have been disturbing reports   the kind i don't want to believe  you're not going you're no ranger jon  better than no one here a man gets what he earns when he earns it we'll speak when i return  the night's watch is a joke to you is it is that what we are lannister an army of jesters in black   i hope we've provided you with some good stories to tell when you're back in king's landing but something to think about while you're drinking your wine down there enjoying your brothels half the boys you've seen training will die north of the wall might be a wilding's axe that gets them might be sickness might just be the cold they die in pain and they do it so plump little lords like you can enjoy their summer afternoons in peace and comfort  call me what you like  you know my brother once told me that nothing someone says before the word ""but"" really counts   you're right the wildlings are no different from us a little rougher maybe but they're made of meat and bone i know how to track them and i know how to kill them it's not the wildlings giving me sleepless nights you've never been north of the wall so don't tell me what's out there   enjoy the capital brother",3,1,251
5,bran,  i hate your stories  those weren't my favorites my favorites were the scary ones   maybe we do   i did though it's true isn't it what maester luwin says about my legs i'd rather be dead  i'd rather be dead,3,1,39
6,catelyn,  it's nine years since i've set foot in the capital and no one knew who i was the last time i came either   i would we've done nothing wrong  instructed i don't know who's providing your instructions but   you little worm you take me for some back-alley sally you can drag into a…   how dare you bring me here have you lost your mind   how did you know i was coming to king's landing   lord varys  how did you know i was coming   do you know whose dagger this is   yours  to whom   ned [poking her head out of a window]  we have proof we have the blade   petyr has promised to help us find the truth he's like a little brother to me he would never betray my trust  i won't forget this you're a true friend   i wish i could see the girls  just for a moment  i know they did it ned the lannisters in my bones i know it  my temper gods be good you nearly killed poor littlefinger yesterday  does he,3,1,176
7,cersei, please it's nearly healed  a king should have scars you fought off a direwolf you're a warrior like your father  that's not true you killed the beast you only spared the girl because of the love your father bears her father when aerys targaryen sat on the iron throne your father was a rebel and a traitor someday you'll sit on the throne and the truth will be what you make it  yes she's very beautiful and young if you don't like her you only need to see her on formal occasions and when the time comes to make little princes and princesses and if you'd rather fuck painted whores you'll fuck painted whores and if you'd rather lie with noble virgins so be it you are my darling boy and the world will be exactly as you want it to be do something nice for the stark girl  no but you will the occasional kindness will spare you all sorts of trouble down the road  how would you handle them   a royal army  and if the northerners rebel  and these 10000 northern troops would they fight for you or their lord   but you've just invaded their homeland asked them to kill their brothers  the north cannot be held not by an outsider it's too big and too wild when the winter comes the seven gods together couldn't save you and your royal army a good king knows when to save his strength and when to destroy his enemies   everyone who isn't us is an enemy  how could you be so stupid  he's a child 10 years old what were you thinking  nothing he's said nothing he remembers nothing  what if it comes back to him if he tells his father what he saw  and my husband  let me go  let me go  and if you find the proof,3,1,309
8,daenerys,  do the dothrakis buy their slaves  from whom  tell them all to stop   until i command them otherwise  not a queen a khaleesi   no   please please don't hurt him tell him i don't want my brother harmed   what are you doing   it’s a boy  i know,3,1,46
9,grenn, you broke my nose bastard  if we threw you over the wall wonder how long it'd take you to hit  what're you looking at halfman  we'll talk later lord snow,3,1,30
10,guard, welcome to king's landing lady stark would you mind following us  we've been instructed to escort you into the city  follow me lady stark,3,1,24
11,irri, rakharo ask if you want him dead khaleesi  rakharo say you should take ear to teach respect  yes khaleesi  when was last time you bleed khaleesi you change khaleesi it’s a blessing from the great stallion  the khaleesi wants to eat something different tonight kill some rabbits  find some ducks she likes ducks  dog then i have seen many dogs  the khaleesi have baby inside her it is true she does not bleed for two moons her belly start to swell  she does not want to eat horse,3,1,88
